input,output
Is it worth having a pension?,"Paying someone to look after your money always costs something - it doesn't matter whether you're inside a pension or not. Fees are highest for ""actively managed"" funds and lowest for passively managed funds or things where you choose the investments directly - but in the latter case you might pay out a lot in dealing fees. Typically pensions will have some small additional costs on top of that, but those are hugely outweighed by the tax advantages - payments into a pension are made from gross salary (subject to an annual limit), and growth inside the pension is tax free. You do pay income tax when you take the money out though - but by then your marginal tax rate may well have dropped. If you want to control your own investments within a pension you can do this, subject to choosing the right provider - you don't have to be invested in the stockmarket at all (my own pension isn't at the moment). I wrote an answer to another question a while ago which briefly summarises the options As far as an annuity goes, it's not as simple as the company taking the money you saved when you die. The point of an annuity is that you can't predict when you'll die. Simplifying massively, suppose the average life expectancy when you retire is 20 years and you have 100K saved, and ignore inflation and interest for now. Then on average you should have 5K/year available - but since you don't know when you'll die if you just spend your money at that rate you might run out after 20 years but still be alive needing money. Annuities provide a way of pooling that risk - in exchange for losing what's left if you die ""early"", you keep getting paid beyond what you put in if you die ""late"". Your suggestion of taking the dividends from an index tracker fund - or indeed the income from any other investment - is fine, but the income will be substantially less than an annuity bought with the same money because you won't be using up any capital, whereas an annuity implicitly does that. Depending on the type of investment, it might also be substantially more risky. Overall, you only need to secure the income you actually need/want to live on. Beyond that level, keeping your money outside the pension system makes some sense, though this might change with the new rules referred to in other answers that mean you don't have to buy an annuity if you have enough guaranteed income anyway. In any case, I strongly suggest you focus first on ensuring you have enough to live on in retirement before you worry about leaving an inheritance. As far as setting up a trust goes, you might be able to do that, but it would be quite expensive and the government tends to view trusts as tax avoidance schemes so you may well fall foul of future changes in the rules."
What type of pension should I get?,"It's best to roll over a pension plan, you don't want to pay the penalties especially when you are young. Rolling over into another scheme, or rolling over into a scheme that is somewhat self directed would avoid the penalty and could help you achieve higher returns should you feel you will perform better. Making regular monthly or biweekly contributions is imperative so that you catch compounded returns on your investments. Since you state that you are inexperienced, I would suggest rolling over into the new scheme and sitting with the pension advisor for the company, ie Prudential, etc. Telling them some key information like your age, in how many years you expect to retire, your current income, your desired pension income per year and such will greatly help them ensure that you come as close to your goal as possible, providing nothing horrendous happens in the market."
How can cold-callers know about my general financial status,"The cold caller is just a different way to contact you compared to the junk mail that they send. The business  gets information from the credit rating companies for households that meet a specific set of criteria. It could be town, age, home ownership, low credit utilization...Or the exact opposite depending on what they are selling. Some business do sell your data. Grocery store know who buys certain products: parents buying diapers may want to start saving for college; ones buying acne medicine may want to talk about lower rates for car insurance.  When they call via phone they have a different success rate compared to junk mail, but for that business that may be acceptable for their needs."
logistical details of interest and dividend payments on assets traded on the secondary market?,"To Many question and they are all treated differently. I was wondering how the logistics of interest and dividend payments are handled on assets , such as mortgages, bonds, stocks,   What if the owner is some high-frequency algorithm that buys and sells bonds and stocks in fractions of a second? When the company decides to pay dividends, does it literally track   down every single owner of that stock and deposit x cents per share in   that person's bank account? (This sounds absolutely absurd and seems   like it would be a logistical nightmare). In Stocks, the dividends are issued periodically. The dividend date is declared well in advance. As on end of the day on Dividend date, the list of individuals [or entities] who own the stock is available with the Stock-Exchange / Registrar of the companies. To this list the dividends are credited in next few days / weeks via banking channel. Most of this is automated. What if the owner is some high-frequency algorithm that buys and sells bonds and stocks in fractions of a second? On bonds, things work slightly differently. An Bond is initially issued for say 95 [discount of 5%] and payment of 100 after say 5 years. So when the person sells it after an year, he would logically look to get a price of 96. Of course there are other factors that could fetch him a price of 94.50 or 95.50. So every change in ownership factors in the logical rate of interest. The person who submits in on maturity gets 100.  For the homeowner, I'm assuming he / she still makes mortgage payments to the initial bank they got the mortgage from, even if the bank no longer ""owns"" the mortgage. In this case, does the trader on the secondary market who owns the mortgage also come back to that bank to collect his interest payment? This depends on how the original financial institution sells the mortgage to new institutions. Generally the homeowner would keep paying initial financial institution and they would then take a margin and pay the secondary investor. If this was collateral-ized as Mortgage backed security, it is a very different story."
What is the tax treatment of scrip dividends in the UK?,"The HMRC website says: Stock dividends are treated as income by virtue of CTA10/S1049, and taxable as savings income under Chapter 5 of Part 4 of ITTOIA05 (sections 409 to 414). ITTOIA05 is the Income Tax (Trading and Other Income) Act 2005, and says: 409 Charge to tax on stock dividend income (1) Income tax is charged on stock dividend income. (2) In this Chapter “stock dividend income” means the income that is treated as arising under section 410. 411 Income charged (1) Tax is charged under this Chapter on the amount of stock dividend income treated for income tax purposes as arising in the tax year. (2) That amount is the cash equivalent of the share capital on the issue of which the stock dividend income arises (see section 412), grossed up by reference to the dividend ordinary rate for the tax year."
Why would a company have 2 listings on the same exchange?,Some companies like Royal Dutch Shell have multiple share classes to suit the tax regimes in Holland and the UK the A shares have dutch withholding tax applied and the B shares dont.  Also some split capital investment trusts have multiple share classes http://www.trustnet.com/Education/Split.aspx?ms=1
question about early exercise of a NQSO,"Now assume these shares are vested, held for at least 1 year, and are   then sold for $5 each. Everything I've read implies that the grantee   now owes long-term capital gains taxes on the difference, which would   be 10k * ($5 - $1). No. That's exactly what the SO is NQ for. Read more on the differences between ISO and NQSO here. Now assume these shares are vested, held for at least 1 year, and are   then sold for $5 each. Everything I've read implies that the grantee   now owes long-term capital gains taxes on the difference, which would   be 10k * ($5 - $1). At this point you no longer have NQSO, you have RSU. If you filed 83(b) when  you exercised, then you pay capital gains tax when they vest. If you didn't - its ordinary income to you. NQSO is a red herring here since once exercised they no longer exist. If you didn't file 83(b), then when the stock vests the difference between the FMV at vest and the money you spent on it when exercising (if any) is considered wages and taxed as ordinary income (+FICA etc). From that point the RSU becomes a regular stock investment and the capital gains clock starts ticking."
Where can I place my savings in to limit my exposure to the risk of European bank failures and sovereign debt defaults?,"You're talking about money in a savings account, and avoiding the risks posed by an ongoing crisis, and avoiding risk. If you are risk-averse, and likely to need your money in the short term, you should not put your money in the stock market, even in ""safe"" stocks like P&G/Coca-Cola/etc. Even these safe stocks are at risk of wild price swings in the short- to intermediate-term, especially in the event of international crises such as major European debt defaults and the like. These stocks are suitable for long-term growth objectives, but they are not as a replacement for a savings account. Coca-Cola lost a third of its value between 2007 and 2009. (It's recovered, and is currently doing better than ever.) P&G went from $74/share to $46/share. (It's partially recovered and back at $63). On the other hand, these stocks may indeed be suitable as long-term investments to protect you against local currency inflation. And yes, they even pay dividends. If you're after this investment, a good option is probably a sector-specific exchange-traded fund, such as a consumer-staples ETF. It will likely be more diversified and safer than anything you could come up with using a list of individual stocks. You can also investigate recommendations that show up when you search for a ""defensive ETF"". If you do not wish to buy the ETF directly, you can also look at listings of the ETF's holdings. Read the prospectus for an idea of the risks associated with these funds. You can buy these funds with any brokerage that gives you access to US stock exchanges."
What pension options are there for a 22 year old graduate in the UK?,"I wouldn't go into a stock market related investment if you plan on buying a house in 4-5 years, you really need to tie money up in stocks for 10 years plus to be confident of a good return.  Of course, you might do well in stocks over 4-5 years but historically it's unlikely. I'd look for a safe place to save some money for the deposit, the more deposit you can get the better as this will lower your loan to valuation (LTV) and therefore you may find you get a better interest rate for your mortgage. Regards the pension, are you paying the maximum you can into the company scheme?  If not then top that up as much as you can, company schemes tend to be good as they have low charges, but check the documentation about that and make sure that is the case. Failing that stakeholder pension schemes can also have very low charges, have a look at what's available."
Dividend yeild per unit,"I am also confused by what he says. The DJIA has not been at 900 for decades. However a $36 dividend is 4% per unit if you get $9 per unit per quarter. 2/3 of 4% is 6%,so that is inside his 7.5% to 5.5%. How much you have in dividend paying stocks vs. Bonds most often is a function of your age. For example, I have heard the advice of subtracting your age in years from 110 and that would be the percent you hold in dividend paying stocks. At age 30 you would have 80% in stocks. At age 60 you would be 50% in stocks. There are retirement funds that do this for you.  But the 'bottom line' all depends on your risk tolerance. I have a large tolerance for risk. So even though I am currently retired I only have 10% of my money in a 'safe' investment (ticker=PGF). It pays 5.5% per year.  The rest is in a leveraged junk bond fund (PHK) that pays 15.5% per year."
What is the average cost of a portfolio on a trading site?,"It sounds for the most part you are a 'buy and hold' type investor and continue to contribute monthly.  I follow the same philosophy and continue to contribute monthly as well.  I use Questrade.com as my online broker. For trading it costs a penny per share with a minimum cost of $4.95 (so if you only buy 100 shares you will still pay $4.95) up to a maximum of $9.95 per trade (so if you buy 10,000 shares you only pay $9.95. Three trades at $4.95 per month across the year would be $178.20.  This is assuming you are trading less then 495 share each trade.  So switching to Questrade would save you an additional $111.80 per year!  Multiply over number of year before you retire plus compound interest which could accrue and that can quite a bit of extra savings. You pay nothing else to Questrade either.  No management fees, etc.  You manage the accounts."
Intro to Investment options for a Canadian,"I got started by reading the following two books: You could probably get by with just the first of those two. I haven't been a big fan of the ""for dummies"" series in the past, but I found both of these were quite good, particularly for people who have little understanding of investing. I also rather like the site, Canadian Couch Potato. That has a wealth of information on passive investing using mutual funds and ETFs. It's a good next step after reading one or the other of the books above. In your specific case, you are investing for the fairly short term and your tolerance for risk seems to be quite low. Gold is a high-risk investment, and in my opinion is ill-suited to your investment goals. I'd say you are looking at a money market account (very low risk, low return) such as e.g. the TD Canadian Money Market fund (TDB164). You may also want to take a look at e.g. the TD Canadian Bond Index (TDB909) which is only slightly higher risk. However, for someone just starting out and without a whack of knowledge, I rather like pointing people at the ING Direct Streetwise Funds. They offer three options, balancing risk vs reward. You can fill in their online fund selector and it'll point you in the right direction. You can pay less by buying individual stock and bond funds through your bank (following e.g. one of the Canadian Couch Potato's model portfolios), but ING Direct makes things nice and simple, and is a good option for people who don't care to spend a lot of time on this. Note that I am not a financial adviser, and I have only a limited understanding of your needs. You may want to consult one, though you'll want to be careful when doing so to avoid just talking to a salesperson. Also, note that I am biased toward passive index investing. Other people may recommend that you invest in gold or real estate or specific stocks. I think that's a bad idea and believe I have the science to back this up, but I may be wrong."
Best way to make most of savings with ISA and Offset mortgage,"I am not a Financial Advisor, but I an tell you what I did in exactly this situation - which is pretty much what you are proposing.  I put money into the offset savings account until I had only a small amount of mortgage ""balance"" left (less than a year's worth of mortgage payments), then I set it up so that each month I did the transfer from the offset savings pot into the mortgage itself. This depleted the offset savings in line with the mortgage debt, and the interest on the two balanced out almost to zero. This was self-sustaining and meant that I kept the same margin owing over time (i.e. if I was in this situation for 5 years, for the whole 5 years I would effectively have 1 year remaining on the mortgage). Meanwhile, since I now didn't have any mortgage outgoings from my regular income, I put any spare money into ISA savings. No need to withdraw money from the mortgage to move to the ISA. The benefits of this (as opposed to just paying off the damn mortgage already) were that I kept the full liquidity of the mortgage amount - I could withdraw all the offset savings pot if I wanted to, although I would then have to have funded the mortgage payments differently, and as that liquidity went down over time I was building up other savings in parallel. It worked well for me. It almost doesn't matter what the offset mortgage rate is since you are effectively paying it off by keeping the offset savings pot so high."
How to reconcile performance with dividends?,"Just look at the published annualized returns, which are inclusive of distributions and fees. From the Vanguard website: Average annual returns include changes in share price and reinvestment of dividends and capital gains."
Can you short a stock before the ex-div. date to make a profit?,"I am relative newbie in the financial market trading and as I understand it, the response from Victor is accurate in respect of trading CFD contracts. However, there is also the option to 'trade' through a financial spread betting platform which as its name suggests is purely a bet based upon the price of the underlying stock/asset. As such, I believe that your theory to short a stock just prior to its ex-dividend date may be worth investigating further... Apart from that, it's worthwhile mentioning that financial spread betting is officially recognised by HMRC as gambling and therefore not currently [2015/16] subject to capital gains tax. This info is given in good faith and must not be relied upon when making any investment and/or trading decision(s). I hope this helps you make a fortune - if it does; then please remember me!"
Growth rate plus dividend yieid total?,"Avoiding the complexities of tax [dividends likely taxed the year they are received, barring special tax accounts which many countries implement in for example, locked-in retirement type accounts; share growth is likely only taxed when sold / on death / on expatriation / similar], and assuming you reinvest the dividends every year in new shares, then yes, total growth in your account is the same whether that growth is comprised of entirely dividends, entirely share increase, or a mixture of both. It is those caveats (tax + reinvestment) which could change things."
How much do big firms and investors affect the stock market?,"The price of a company's stock at any given moment is established by a ratio of buyers to sellers.  When the sellers outnumber the buyers at a given price, the stock price drops until there are enough people willing to buy the stock to balance the equation again.  When there are more people wanting to purchase a stock at a given price than people willing to sell it, the stock price rises until there are enough sellers to balance things again.  So given this, it's easy to see that a very large fund (or collection of very large funds) buying or selling could drive the price of a stock in one direction or another (because the sheer number of shares they trade can tip the balance one way or another).   What's important to keep in mind though is that the ratio of buyers to sellers at any given moment is determined by ""market sentiment"" and speculation.  People selling a stock think the price is going down, and people buying it think it's going up; and these beliefs are strongly influenced by news coverage and available information relating to the company.  So in the case of your company in the example that would be expected to triple in value in the next year; if everyone agreed that this was correct then the stock would triple almost instantly.  The only reason the stock doesn't reach this value instantly is that the market is split between people thinking this is going to happen and people who think it won't.   Over time, news coverage and new information will cause one side to appear more correct than the other and the balance will shift to drive the price up or down.  All this is to say that YES, large funds and their movements CAN influence a stock's trading value; BUT their movements are based upon the same news, information, analysis and sentiment as the rest of the market.  Meaning that the price of a stock is much more closely tied to news and available information than day to day trading volumes.  In short, buying good companies at good prices is just as ""good"" as it's ever been.   Also keep in mind that the fact that YOU can buy and sell stocks without having a huge impact on price is an ADVANTAGE that you have.  By slipping in or out at the right times in major market movements you can do things that a massive investment fund simply cannot."
Understanding a Trailing Limit if Touched Order,"This is rather simple if you understand a trailing limit order but to be sure I am going to explain a limit, trailing limit, and trailing LIT order. I am going to use an example assuming that you already own a stock and want to sell it. Limit Order I place an order to sell 100 PG @ 65.00. This order will only be executed if the bid price of PG is at $65.0000 or greater. Trailing Limit Order I place an order to sell 100 CAT @ 85.25 with a trailing 5%. This order will be executed when CAT drops 5% below the highest point it reaches after you place this order. So if you place this order at 85.25 and the stock drops 5% to $80.9875, your order will be executed. However, if the stock jumps to $98, the order will not be executed until the stock falls to $93.10. The sell point will go up with the stock and will always remain at the specified % or $ amount behind the high point. Trailing Limit If Touched Order I place an order to sell 100 INTC @ 24.75 with a trailing 5% if the stock touches $25.00. Essentially, this is the same as the trailing limit except that it doesn't take effect until the stock first gets $25.00.  I think the page they provide to explain this is confusing because I think they are explaining it from the shorting a stock perspective instead of the selling a stock you want to profit from. I could also be wrong in how I understand it. My advice would be to either call their customer support and ask for a better explanation or what I do in my finances, avoid things I don't understand."
Company stock listed in multiple exchanges?,"If a company's shares trade in multiple exchanges, the prices in every exchange are very near to each other, otherwise you could earn money by doing arbitrage deals (buying in one, selling in the other) - and people do that once it becomes worth it. Which stock exchange you use is more a convenience for the buyer/seller - many investment banks offer only something local/near, and you have to go to specific investment banks to use other exchanges. For example, in Germany, it is easy to deal in Frankfurt, but if you want to trade at the the NASDAQ, you have to run around and find a bank that offers it, and you probably have to pay extra for it. In the USA, most investment banks offer NASDAQ, but if you want to trade in Frankfurt, you will have run around for an international company that offers that. As a stock owner/buyer, you can sell/buy your shares on any stock exchange where the company is listed (again, assuming your investment broker supports it). So you can buy in Frankfurt and sell in Tokyo seconds later, as nothing needs to be physically moved. Companies that are listed in multiple stock exchangs are typically large, and offer this to make trading their shares easier for a larger part of the world. Considering your 'theoretical buy all shares' - the shares are not located in the exchanges, they are in the hands of the owners, and not all are for sale, for various reasons. The owners decide if and when they want them offered for sale, and they also decide which stock exchange they offer them on; so you would need to go to all exchanges to buy them all. However, if you raise your offer price in one exchange only slightly, someone will see the arbitrage and buy them in the other locations and offer them to you in your stock exchange; in other words, for a small fee the shares will come to you. But again, most shares are typically not for sale. It's the same as trying to buy all Chevy Tahoes - even if you had the money, most owners wouldn't know or care about you. You would have to go around and contact every single one and convince them to sell."
What does “no adjustments” mean?,"Typically that applies if the broker Form 1099-B reports an incorrect basis to the IRS.  If the Form 1099-B shows incorrect basis relative to your records, then you can use 8949, column (g) to report the correct basis.  The 8949 Instructions provide a brief example. http://www.irs.gov/pub/irs-prior/i8949--2013.pdf Although you have an obligation to report all income, and hence to report the true basis, as a practical matter this information will usually be correct as presented by the broker.  If you have separate information or reports relating to your investments, and you are so inclined, then you can double-check the basis information in your 1099-B. If you aren't aware of basis discrepancies, then the adjustments probably don't apply to you and your investments can stick to Schedule D."
Does bull/bear market actually make a difference?,"The main difference between a bull market and a bear market is due the ""the leverage effect"". http://www.princeton.edu/~yacine/leverage.pdf The leverage effect refers to the observed tendency of an asset’s   volatility to be negatively correlated with the asset’s returns.   Typically, rising asset prices are accompanied by declining   volatility, and vice versa. The term “leverage” refers to one possible   economic interpretation of this phenomenon, developed in Black (1976)   and Christie (1982): as asset prices decline, companies become   mechanically more leveraged since the relative value of their debt   rises relative to that of their equity. As a result, it is natural to   expect that their stock becomes riskier, hence more volatile. More volatile assets in a bear market are not such good investments as less volatile assets in a bull market."
Best Time to buy a stock in a day ,"You want to buy when the stock market is at an all-time low for that day. Unfortunately, you don't know the lowest time until the end of the day, and then you, uh can't buy the stock... Now the stock market is not random, but for your case, we can say that effectively, it is. So, when should you buy the stock to hopefully get the lowest price for the day? You should wait for 37% of the day, and then buy when it is lower than it has been for all of that day. Here is a quick example (with fake data): We have 18 points, and 37% of 18 is close to 7. So we discard the first 7 points - and just remember the lowest of those 7. We bear in mind that the lowest for the first 37% was 5. Now we wait until we find a stock which is lower than 5, and we buy at that point: This system is optimal for buying the stock at the lowest price for the day. Why? We want to find the  best position to stop automatically ignoring. Why 37%? We know the answer to P(Being in position n) - it's 1/N as there are N toilets, and we can select just 1. Now, what is the chance we select them, given we're in position n? The chance of selecting any of the toilets from 0 to K is 0 - remember we're never going to buy then. So let's move on to the toilets from K+1 and onwards. If K+1 is better than all before it, we have this: But, K+1 might not be the best price from all past and future prices. Maybe K+2 is better. Let's look at K+2 For K+2 we have K/K+1, for K+3 we have K/K+2... So we have: This is a close approximation of the area under 1/x - especially as x → ∞   So 0 + 0 + ... + (K/N) x (1/K + 1/K+1 + 1/K+2 ... + 1/N-1) ≈ (K/N) x ln(N/K) and so P(K) ≈ (K/N) x ln(N/K) Now to simplify, say that x = K/N We can graph this, and find the maximum point so we know the maximum P(K) - or we can use calculus. Here's the graph:  Here's the calculus: To apply this back to your situation with the stocks, if your stock updates every 30 seconds, and is open between 09:30 and 16:00, we have 6.5 hours = 390 minutes = 780 refreshes. You should keep track of the lowest price for the first 289 refreshes, and then buy your stock on the next best price. Because x = K/N, the chance of you choosing the best price is 37%. However, the chance of you choosing better than the average stock is above 50% for the day. Remember, this method just tries to mean you don't loose money within the day - if you want to try to minimise losses within the whole trading period, you should scale this up, so you wait 37% of the trading period (e.g. 37% of 3 months) and then select. The maths is taken from Numberphile - Mathematical Way to Choose a Toilet. Finally, one way to lose money a little slower and do some good is with Kiva.org - giving loans to people is developing countries. It's like a bank account with a -1% interest - which is only 1% lower than a lot of banks, and you do some good. I have no affiliation with them."
What should I do with the stock from my Employee Stock Purchase Plan?,"Judge this stock no differently than any other is the answer.  Optimism isn't fact. http://clarkhoward.com/liveweb/shownotes/2007/06/06/12304/?printer=1 Now because you get to buy extremely low, and sell for probably higher and you believe in the stock, I'd say go ahead and purchase the stock, manage it for taxes with the advice of your advisor and get your portfolio rebalanced as soon as you can.  That might admittedly be a year or more, but as you say you have time. Like any investment, don't spend money you can't lose."
How does a public company issue new shares without diluting the value held by existing shareholders?,"Let's say the company has a million shares valued at $10 each, so market caps is $10 million dollar = $10 per share. Actual value of the company is unknown, but should be close to that $10 million if the shares are not overvalued or undervalued.  If they issue 100,000 more shares at $10 each, the buyers pay a million dollar. Which goes into the bank account of the company. Which is now worth a million dollar more than before. Again, we don't know what it is worth, but the market caps should go up to $11 million dollar. And since you have now 1,100,000 shares, it's still $10 per share.  If the shares are sold below or above $10, then the share price should go down or up a bit. Worst case, if the company needs money, can't get a loan, and sells 200,000 shares for $5 each to raise a million dollars, there will be suspicion that the company is in trouble, and that will affect the share price negatively. And of course the share price should have dropped anyway because the new value is $11,000,000 for $1,200,000 shares or $9.17 per share."
When after a companys IPO date can I purchase shares?,You can purchase stock immediately in the open market on the day of the IPO when market opens. Below link gives you more information. http://finance.zacks.com/buy-ipo-stock-3903.html
What is market capitalization? [duplicate],"Market capitalization is one way to represent the value of the company. So if a company has 10 million shares, which are each worth $100, then the company's market capitalization is 1 billion. Large cap companies tend to be larger and more stable. Small cap companies are smaller, which indicates higher volatility. So if you want more aggressive investments then you may want to invest in small cap companies while if you lean on the side of caution then big cap companies may be your friend."
A deferred capital gains tax similar to the real estate 1031 Exchange but for securities reinvestment?,"Sale of a stock creates a capital gain. It can be offset with losses, up to $3000 more than the gains. It can be deferred when held within a retirement account.  When you gift appreciated stock, the basis follows. So when I gifted my daughter's trust shares, there was still tax due upon sale. The kiddy tax helped reduce but not eliminate it. And there was no quotes around ownership. The money is gone, her account is for college.  No 1031 exchange exists for stock."
Why would this kind of penny stock increase so much in value?,"Well I'm not going to advise whether it's a good idea to invest in this company (though often OTC is pretty scary), but it DOES have a product (vivio, an ad blocker), it did post financials and it's trading on the OTC-QB (which is better than the pink sheets), so you need to look these over and study up on the product to decide if it is overpriced or not.  What might have occurred (viz the Patriot Berry Farm becoming Cyberfort) is that the latter bought up the stock of the former (this is, I believe, called using a shell, which is not necessarily a bad thing) and is using this as a way to be registered, i.e. sell to non-accredited investors via the OTC market.  So I'm really just answering your third question:  yes, you have to do a lot of due diligence to see if buying this stock is a good deal or not.  It might be the next big thing.  Or it might not. It certainly is the case that low trading volume allows a relatively small trade to really change the stock price, so the penny stocks do tend to be easier to 'inflate'. Side comment:  the bid/ask spreads are pretty big, with a best bid of 0.35 and best ask of 0.44."
Accounting for splits in a stock price graph,"One way that is common is to show the value over time of an initial investment, say $10,000.  The advantage of this is that it doesn't show stock price at all, so handles splits well.  It can also take into account dividend reinvestment.  Fidelity uses this for their mutual funds, as can be seen here.  Another option would be to compute the stock price as if the split didn't happen.  So if a stock does a 2:1 split, you show double the actual price starting at that point."
Is this trick enough to totally prevent bankrupcy in a case of a crash?,"When you buy a stock, the worst case scenario is that it drops to 0.  Therefore, the most you can lose when buying a stock is 100% of your investment. When you short a stock, however, there's no limit on how high the stock can go.  If you short a stock at 10, and it goes up to 30, then you've lost 200% on your investment.  Therefore shorting stocks is riskier than buying stocks, since you can lose more than 100% of your investment when shorting. because the price might go up, but it will never be as big of a change as a regular price drop i suppose... That is not true.  Stocks can sometimes go up significantly (50-100% or more) in a very short amount of time on a positive news release (such as an earnings or a buyout announcement).  A famous example occurred in 2008, when Volkswagen stock quintupled (went up 400%) in less than 2 days on some corporate news: Porsche, for some reason, wants to control Volkswagen, and by building up its stake has driven up the price. Hedge funds, figuring the share price would fall as soon as Porsche got control and stopped buying, sold a lot of VW shares short. Then last weekend, Porsche disclosed that it owned 42.6 percent of the stock and had acquired options for another 31.5 percent. It said it wanted to go to 75 percent. The result: instant short-squeeze. The German state of Lower Saxony owns a 20 percent stake in VW, which it said it would not sell. That left precious few shares available for anyone else. The shorts scrambled to cover, and the price leaped from about €200, or about $265, to above €1,000."
Is there a website with options chain charts?,"http://dailyfinance.com Enter a stock ticker, then click on the Chain link to the left. Then, click on the option tickers to see their charts. EDIT: the site has changed, and there are no more option charts. So why are option charts so tough to find? Options are derivatives of the stock. Option prices are defined by a formula. The inputs are stock pricxe, strike, days to expiration, dividend, risk-free interest rate, and volatility. Volatility is the only thing that cannot be easily looked up. With a Black-Scholes calculator, and some reasonable volatility selections, it's possible to make your own fairly accurate option chart. I don't think it's very enlightening, though. The interesting things are: the stock price movement (as always), and the nature of option pricing behavior in general (understanding how the formula represents crowd behavior)."
where to get stock price forecast,"First, stock prices forecasts are usually pretty subjective so in the following resources you will find differing opinions. The important thing is to read both positive and negative views and do some of your additional research and form your own opinion. To answer your question, some analysts don't provide price targets, some just say ""Buy"", ""Sell"", ""Hold"", and others actually give you a price target. Yahoo provides a good resource for collecting reports and giving you a price target. http://screener.finance.yahoo.com/reports.html"
Stability of a Broker: What if your broker goes bankrupt? Could you lose equity in your account?,"The Securities Investor Protection Corporation is roughly analogous to the FDIC for investments.  There are some important differences like a lack of 100% guarantee you get all of your funds back. The SIPC understands you invested knowing there was some risk, and therefore you take that same risk in getting your money from a failed brokerage.  However there is still a level of commitment and trust that lessen the risk of investing in the wrong place. Also, do not typo the acronym at your work computer.  In the US (and perhaps elsewhere) it is a racist term, and you are likely to get some bad search results. http://www.sipc.org/how/brochure.cfm"
What Happens to Bank Stocks If Country Defaults,"The prices seem very low even considering the risk? The prices are low because of the risk. Nothing happens to the banks if the sovereign defaults. However, the sovereign debt holders - lose some or all the money they lent to that sovereign. Incidentally, many banks invest in the treasury bonds of various countries, especially those they're located in. They also invest in other companies that rely on the government, or the currency. If that dependency is too high - the bank may fail. If the dependency is not high, or non-existent - the bank will survive. If the bank fails - yes, your shares will be wiped out, that's what happens with bankrupt companies. If you considering investing in banks in a country that you think may default - research them and see how much investments they have that will be affected by that default."
How do straddles that involve selling options protect against early assignment?,"Yes, that's the risk. If the stock is bouncing around a lot your options could get assigned.  If it heads south you now are the proud owner of more of a falling stock.  It's good that you're looking to understand the risks of an investment method.  That's important no matter what the method is."
Is Stock Trading legal for a student on F-1 Visa doing CPT in USA?,you dont need any permits or be inside the US to trade the exact same securities on US exchanges. you can literally move your bitcoin from a chinese exchange to us exchange in seconds.  i don't see how you can possibly run into legal issues if anyone from outside the country can trade bitcoins on an exchange inside the country without any permit. a lot of these exchanges dont ask for ID or social security number anyways. none of it is government regulated. also trading anything is never a passive income. theres no such thing as an easy or obvious investment. there are always risks- and the actual risk is often deceivingly low
What happens when a calendar spread is assigned in a non-margin account?,"I would think that a lot of brokers would put the restriction suggested in @homer150mw in place or something more restrictive, so that's the first line of answer. If you did get assigned on your short option, then (I think) the T+3 settlement rules would matter for you.  Basically you have 3 days to deliver.  You'll get a note from your broker demanding that you provide the stock and probably threatening to liquidate assets in your account to cover their costs if you don't comply.  If you still have the long-leg of the calendar spread then you can obtain the stock by exercising your long call, or, if you have sufficient funds available, you can just buy the stock and keep your long call.  (If you're planning to exercise the long call to cover the position, then you need to check with your broker to see how quickly the stock so-obtained will get credited to your account since it also has some settlement timeline.  It's possible that you may not be able to get the stock quickly enough, especially if you act on day 3.) Note that this is why you must buy the call with the far date.  It is your ""insurance"" against a big move against you and getting assigned on your short call at a price that you cannot cover. With the IRA, you have some additional concerns over regular cash account - Namely you cannot freely contribute new cash any time that you want.  That means that you have to have some coherent strategy in place here that ensures you can cover your obligations no matter what scenario unfolds.  Usually brokers put additional restrictions on trades within IRAs just for this reason. Finally, in the cash account and assuming that you are assigned on your short call, you could potentially could get hit with a good faith, cash liquidation, or free riding violation when your short call is assigned, depending on how you deliver the stock and other things that you're doing in the same account.  There are other questions on that on this site and lots of information online.  The rules aren't super-simple, so I won't try to reproduce them here.  Some related questions to those rules: An external reference also on potential violations in a cash account: https://www.fidelity.com/learning-center/trading-investing/trading/avoiding-cash-trading-violations"
"If you want to trade an equity that reflects changes in VIX, what is a good proxy for it?","If you want to trade to gain from short-term volatility, you can use Derivative-based ETFs that try to track the inverse of a broad index like the S&P 500. Note that these ETFs only track the index over a 1 day period, so you shouldn't hold these. If you're looking for a longer-term investment strategy, look at low-beta stocks, which often do well or produce dividend income during volatile times. Examples include McDonald's Corp and utilities like Consolidated Edison."
